,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
358,49,33,0.598,3.0,99.5,97.5,2.23,2005,Denver Nuggets
359,44,38,0.537,8.0,96.8,95.3,1.73,2005,Minnesota Timberwolves
360,27,55,0.329,25.0,92.9,96.9,-3.45,2005,Portland Trail Blazers
361,26,56,0.317,26.0,93.0,97.3,-3.74,2005,Utah Jazz
362,62,20,0.756,—,110.4,103.3,7.08,2005,Phoenix Suns
363,50,32,0.61,12.0,103.7,101.6,2.56,2005,Sacramento Kings
364,37,45,0.451,25.0,95.7,96.5,-0.47,2005,Los Angeles Clippers
365,34,48,0.415,28.0,98.7,101.7,-2.32,2005,Los Angeles Lakers
366,34,48,0.415,28.0,98.7,100.9,-1.74,2005,Golden State Warriors
367,59,23,0.72,—,96.2,88.4,7.84,2005,San Antonio Spurs
368,58,24,0.707,1.0,102.5,96.8,5.86,2005,Dallas Mavericks
369,51,31,0.622,8.0,95.1,91.0,4.27,2005,Houston Rockets
370,45,37,0.549,14.0,93.4,91.1,2.64,2005,Memphis Grizzlies
371,18,64,0.22,41.0,88.4,95.5,-6.3,2005,New Orleans Hornets
372,49,33,0.598,—,93.8,92.4,1.11,2006,New Jersey Nets
373,38,44,0.463,11.0,99.4,101.3,-2.1,2006,Philadelphia 76ers
374,33,49,0.402,16.0,98.0,99.5,-1.59,2006,Boston Celtics
375,27,55,0.329,22.0,101.1,104.0,-3.03,2006,Toronto Raptors
376,23,59,0.28,26.0,95.6,102.0,-6.3,2006,New York Knicks
377,64,18,0.78,—,96.8,90.2,6.24,2006,Detroit Pistons
378,50,32,0.61,14.0,97.6,95.4,2.17,2006,Cleveland Cavaliers
379,41,41,0.5,23.0,93.9,92.0,1.62,2006,Indiana Pacers
380,41,41,0.5,23.0,97.8,97.2,0.51,2006,Chicago Bulls
381,40,42,0.488,24.0,97.8,98.8,-1.07,2006,Milwaukee Bucks
382,52,30,0.634,—,99.9,96.0,3.59,2006,Miami Heat
383,42,40,0.512,10.0,101.7,99.8,1.57,2006,Washington Wizards
384,36,46,0.439,16.0,94.9,96.0,-1.26,2006,Orlando Magic
385,26,56,0.317,26.0,96.9,100.9,-3.9,2006,Charlotte Bobcats
386,26,56,0.317,26.0,97.2,102.0,-4.69,2006,Atlanta Hawks
387,44,38,0.537,—,100.3,100.1,0.36,2006,Denver Nuggets
388,41,41,0.5,3.0,92.4,95.0,-2.49,2006,Utah Jazz
389,35,47,0.427,9.0,102.6,105.6,-2.88,2006,Seattle SuperSonics
390,33,49,0.402,11.0,91.7,93.6,-1.75,2006,Minnesota Timberwolves
391,21,61,0.256,23.0,88.8,98.3,-8.91,2006,Portland Trail Blazers
392,54,28,0.659,—,108.4,102.8,5.48,2006,Phoenix Suns
393,47,35,0.573,7.0,97.2,95.6,1.75,2006,Los Angeles Clippers
394,45,37,0.549,9.0,99.4,96.9,2.53,2006,Los Angeles Lakers
395,44,38,0.537,10.0,98.9,97.3,1.61,2006,Sacramento Kings
396,34,48,0.415,20.0,98.5,99.8,-1.11,2006,Golden State Warriors
397,63,19,0.768,—,95.6,88.8,6.69,2006,San Antonio Spurs
398,60,22,0.732,3.0,99.1,93.1,5.96,2006,Dallas Mavericks
399,49,33,0.598,14.0,92.2,88.5,3.74,2006,Memphis Grizzlies
400,38,44,0.463,25.0,92.8,95.6,-2.51,2006,New Orleans/Oklahoma City Hornets
401,34,48,0.415,29.0,90.1,91.7,-1.3,2006,Houston Rockets
402,47,35,0.573,—,99.5,98.5,0.61,2007,Toronto Raptors
403,41,41,0.5,6.0,97.6,98.3,-1.0,2007,New Jersey Nets
404,35,47,0.427,12.0,94.9,98.0,-3.26,2007,Philadelphia 76ers
405,33,49,0.402,14.0,97.5,100.3,-3.06,2007,New York Knicks
406,24,58,0.293,23.0,95.8,99.2,-3.7,2007,Boston Celtics
407,53,29,0.646,—,96.0,91.8,3.69,2007,Detroit Pistons
408,50,32,0.61,3.0,96.8,92.9,3.33,2007,Cleveland Cavaliers
409,49,33,0.598,4.0,98.8,93.8,4.52,2007,Chicago Bulls
410,35,47,0.427,18.0,95.6,98.0,-2.62,2007,Indiana Pacers
411,28,54,0.341,25.0,99.7,104.0,-4.43,2007,Milwaukee Bucks
412,44,38,0.537,—,94.6,95.5,-1.21,2007,Miami Heat
413,41,41,0.5,3.0,104.3,104.9,-0.8,2007,Washington Wizards
414,40,42,0.488,4.0,94.8,94.0,0.35,2007,Orlando Magic
415,33,49,0.402,11.0,96.9,100.6,-3.97,2007,Charlotte Bobcats
416,30,52,0.366,14.0,93.7,98.4,-4.86,2007,Atlanta Hawks
417,51,31,0.622,—,101.5,98.6,3.06,2007,Utah Jazz
418,45,37,0.549,6.0,105.4,103.7,1.69,2007,Denver Nuggets
419,32,50,0.39,19.0,94.1,98.4,-3.78,2007,Portland Trail Blazers
420,32,50,0.39,19.0,96.1,99.7,-3.16,2007,Minnesota Timberwolves
421,31,51,0.378,20.0,99.1,102.0,-2.45,2007,Seattle SuperSonics
422,61,21,0.744,—,110.2,102.9,7.28,2007,Phoenix Suns
423,42,40,0.512,19.0,103.3,103.4,0.24,2007,Los Angeles Lakers
424,42,40,0.512,19.0,106.5,106.9,0.0,2007,Golden State Warriors
425,40,42,0.488,21.0,95.6,96.1,-0.07,2007,Los Angeles Clippers
426,33,49,0.402,28.0,101.3,103.1,-1.35,2007,Sacramento Kings
427,67,15,0.817,—,100.0,92.8,7.28,2007,Dallas Mavericks
428,58,24,0.707,9.0,98.5,90.1,8.35,2007,San Antonio Spurs
429,52,30,0.634,15.0,97.0,92.1,5.04,2007,Houston Rockets
430,39,43,0.476,28.0,95.5,97.1,-1.19,2007,New Orleans/Oklahoma City Hornets
431,22,60,0.268,45.0,101.6,106.7,-4.44,2007,Memphis Grizzlies
432,66,16,0.805,—,100.5,90.3,9.3,2008,Boston Celtics
433,41,41,0.5,25.0,100.2,97.3,2.47,2008,Toronto Raptors
434,40,42,0.488,26.0,96.6,96.2,0.19,2008,Philadelphia 76ers
435,34,48,0.415,32.0,95.8,100.9,-5.15,2008,New Jersey Nets
436,23,59,0.28,43.0,96.9,103.5,-6.55,2008,New York Knicks
437,59,23,0.72,—,97.5,90.1,6.67,2008,Detroit Pistons
438,45,37,0.549,14.0,96.4,96.7,-0.53,2008,Cleveland Cavaliers
439,36,46,0.439,23.0,104.0,105.4,-1.87,2008,Indiana Pacers
440,33,49,0.402,26.0,97.3,100.4,-3.19,2008,Chicago Bulls
441,26,56,0.317,33.0,97.0,103.9,-6.92,2008,Milwaukee Bucks
442,52,30,0.634,—,104.5,99.0,4.79,2008,Orlando Magic
443,43,39,0.524,9.0,98.8,99.2,-0.61,2008,Washington Wizards
444,37,45,0.451,15.0,98.2,100.0,-2.23,2008,Atlanta Hawks
445,32,50,0.39,20.0,97.1,101.4,-4.49,2008,Charlotte Bobcats
446,15,67,0.183,37.0,91.4,100.0,-8.53,2008,Miami Heat
447,54,28,0.659,—,106.2,99.3,6.86,2008,Utah Jazz
448,50,32,0.61,4.0,110.7,107.0,3.74,2008,Denver Nuggets
449,41,41,0.5,13.0,95.4,96.3,-0.52,2008,Portland Trail Blazers
450,22,60,0.268,32.0,95.6,102.4,-6.26,2008,Minnesota Timberwolves
451,20,62,0.244,34.0,97.5,106.3,-8.04,2008,Seattle SuperSonics
452,57,25,0.695,—,108.6,101.3,7.34,2008,Los Angeles Lakers
453,55,27,0.671,2.0,110.1,105.0,5.14,2008,Phoenix Suns
454,48,34,0.585,9.0,111.0,108.8,2.38,2008,Golden State Warriors
455,38,44,0.463,19.0,102.5,104.8,-1.86,2008,Sacramento Kings
456,23,59,0.28,34.0,93.8,101.1,-6.56,2008,Los Angeles Clippers
457,56,26,0.683,—,100.9,95.6,5.46,2008,New Orleans Hornets
458,56,26,0.683,—,95.4,90.6,5.1,2008,San Antonio Spurs
459,55,27,0.671,1.0,96.7,92.0,4.83,2008,Houston Rockets
460,51,31,0.622,5.0,100.4,95.9,4.7,2008,Dallas Mavericks
461,22,60,0.268,34.0,100.7,106.9,-5.76,2008,Memphis Grizzlies
462,62,20,0.756,—,100.9,93.4,7.44,2009,Boston Celtics
463,41,41,0.5,21.0,97.4,97.3,0.16,2009,Philadelphia 76ers
464,34,48,0.415,28.0,98.1,100.5,-2.31,2009,New Jersey Nets
465,33,49,0.402,29.0,99.0,101.9,-2.54,2009,Toronto Raptors
466,32,50,0.39,30.0,105.2,107.8,-2.33,2009,New York Knicks
467,66,16,0.805,—,100.3,91.4,8.68,2009,Cleveland Cavaliers
468,41,41,0.5,25.0,102.2,102.5,-0.16,2009,Chicago Bulls
469,39,43,0.476,27.0,94.2,94.7,-0.36,2009,Detroit Pistons
470,36,46,0.439,30.0,105.1,106.2,-0.76,2009,Indiana Pacers
471,34,48,0.415,32.0,99.3,100.4,-0.88,2009,Milwaukee Bucks
472,59,23,0.72,—,101.0,94.4,6.48,2009,Orlando Magic
473,47,35,0.573,12.0,98.1,96.5,1.7,2009,Atlanta Hawks
474,43,39,0.524,16.0,98.3,98.0,0.49,2009,Miami Heat
475,35,47,0.427,24.0,93.6,94.9,-1.2,2009,Charlotte Bobcats
476,19,63,0.232,40.0,96.1,103.5,-6.98,2009,Washington Wizards
477,54,28,0.659,—,104.3,100.9,3.13,2009,Denver Nuggets
478,54,28,0.659,—,99.4,94.1,5.0,2009,Portland Trail Blazers
479,48,34,0.585,6.0,103.6,100.9,2.31,2009,Utah Jazz
480,24,58,0.293,30.0,97.8,102.7,-4.74,2009,Minnesota Timberwolves
481,23,59,0.28,31.0,97.0,103.1,-6.04,2009,Oklahoma City Thunder
482,65,17,0.793,—,106.9,99.3,7.11,2009,Los Angeles Lakers
483,46,36,0.561,19.0,109.4,107.5,1.62,2009,Phoenix Suns
484,29,53,0.354,36.0,108.6,112.3,-3.8,2009,Golden State Warriors
485,19,63,0.232,46.0,95.1,103.9,-8.47,2009,Los Angeles Clippers
486,17,65,0.207,48.0,100.6,109.3,-8.6,2009,Sacramento Kings
487,54,28,0.659,—,97.0,93.3,3.36,2009,San Antonio Spurs
488,53,29,0.646,1.0,98.4,94.4,3.73,2009,Houston Rockets
489,50,32,0.61,4.0,101.7,99.8,1.68,2009,Dallas Mavericks
490,49,33,0.598,5.0,95.8,94.3,1.41,2009,New Orleans Hornets
491,24,58,0.293,30.0,93.9,99.3,-5.23,2009,Memphis Grizzlies
492,50,32,0.61,—,99.2,95.6,3.37,2010,Boston Celtics
493,40,42,0.488,10.0,104.1,105.9,-1.83,2010,Toronto Raptors
494,29,53,0.354,21.0,102.1,105.9,-4.01,2010,New York Knicks
495,27,55,0.329,23.0,97.7,101.6,-3.93,2010,Philadelphia 76ers
496,12,70,0.146,38.0,92.4,101.5,-8.93,2010,New Jersey Nets
497,61,21,0.744,—,102.1,95.6,6.17,2010,Cleveland Cavaliers
498,46,36,0.561,15.0,97.7,96.0,1.37,2010,Milwaukee Bucks
499,41,41,0.5,20.0,97.5,99.1,-1.64,2010,Chicago Bulls
500,32,50,0.39,29.0,100.8,103.8,-3.11,2010,Indiana Pacers
501,27,55,0.329,34.0,94.0,99.1,-5.02,2010,Detroit Pistons
502,59,23,0.72,—,102.8,95.3,7.12,2010,Orlando Magic
503,53,29,0.646,6.0,101.7,97.0,4.44,2010,Atlanta Hawks
504,47,35,0.573,12.0,96.5,94.2,1.99,2010,Miami Heat
505,44,38,0.537,15.0,95.3,93.8,1.3,2010,Charlotte Bobcats
506,26,56,0.317,33.0,96.2,101.0,-4.72,2010,Washington Wizards
507,53,29,0.646,—,106.5,102.4,4.15,2010,Denver Nuggets
508,53,29,0.646,—,104.2,98.9,5.33,2010,Utah Jazz
509,50,32,0.61,3.0,98.1,94.8,3.18,2010,Portland Trail Blazers
510,50,32,0.61,3.0,101.5,98.0,3.55,2010,Oklahoma City Thunder
511,15,67,0.183,38.0,98.2,107.8,-9.06,2010,Minnesota Timberwolves
512,57,25,0.695,—,101.7,97.0,4.78,2010,Los Angeles Lakers
513,54,28,0.659,3.0,110.2,105.3,4.67,2010,Phoenix Suns
514,29,53,0.354,28.0,95.7,102.1,-6.01,2010,Los Angeles Clippers
515,26,56,0.317,31.0,108.8,112.4,-3.28,2010,Golden State Warriors
516,25,57,0.305,32.0,100.0,104.4,-4.06,2010,Sacramento Kings
517,55,27,0.671,—,102.0,99.3,2.66,2010,Dallas Mavericks
518,50,32,0.61,5.0,101.4,96.3,5.07,2010,San Antonio Spurs
519,42,40,0.512,13.0,102.4,102.7,-0.02,2010,Houston Rockets
520,40,42,0.488,15.0,102.5,104.0,-1.39,2010,Memphis Grizzlies
521,37,45,0.451,18.0,100.2,102.7,-2.27,2010,New Orleans Hornets
522,56,26,0.683,—,96.5,91.1,4.83,2011,Boston Celtics
523,42,40,0.512,14.0,106.5,105.7,0.48,2011,New York Knicks
524,41,41,0.5,15.0,99.0,97.5,1.01,2011,Philadelphia 76ers
525,24,58,0.293,32.0,94.2,100.4,-6.28,2011,New Jersey Nets
526,22,60,0.268,34.0,99.1,105.4,-6.28,2011,Toronto Raptors
527,62,20,0.756,—,98.6,91.3,6.53,2011,Chicago Bulls
528,37,45,0.451,25.0,99.8,100.9,-1.38,2011,Indiana Pacers
529,35,47,0.427,27.0,91.9,92.7,-1.02,2011,Milwaukee Bucks
530,30,52,0.366,32.0,97.0,100.6,-3.78,2011,Detroit Pistons
531,19,63,0.232,43.0,95.5,104.5,-8.88,2011,Cleveland Cavaliers
532,58,24,0.707,—,102.1,94.6,6.76,2011,Miami Heat
533,52,30,0.634,6.0,99.2,93.7,4.92,2011,Orlando Magic
534,44,38,0.537,14.0,95.0,95.8,-1.1,2011,Atlanta Hawks
535,34,48,0.415,24.0,93.3,97.3,-4.08,2011,Charlotte Bobcats
536,23,59,0.28,35.0,97.3,104.7,-7.3,2011,Washington Wizards
537,55,27,0.671,—,104.8,101.0,3.81,2011,Oklahoma City Thunder
538,50,32,0.61,5.0,107.5,102.7,4.81,2011,Denver Nuggets
539,48,34,0.585,7.0,96.3,94.8,1.85,2011,Portland Trail Blazers
540,39,43,0.476,16.0,99.4,101.3,-1.44,2011,Utah Jazz
541,17,65,0.207,38.0,101.1,107.7,-5.97,2011,Minnesota Timberwolves
542,57,25,0.695,—,101.5,95.4,6.01,2011,Los Angeles Lakers
543,40,42,0.488,17.0,105.0,105.9,-0.46,2011,Phoenix Suns
544,36,46,0.439,21.0,103.4,105.7,-2.0,2011,Golden State Warriors
545,32,50,0.39,25.0,98.6,101.8,-2.71,2011,Los Angeles Clippers
546,24,58,0.293,33.0,99.4,104.7,-4.8,2011,Sacramento Kings
547,61,21,0.744,—,103.7,98.0,5.86,2011,San Antonio Spurs
548,57,25,0.695,4.0,100.2,96.0,4.41,2011,Dallas Mavericks
549,46,36,0.561,15.0,94.9,94.0,1.28,2011,New Orleans Hornets
550,46,36,0.561,15.0,99.9,97.6,2.55,2011,Memphis Grizzlies
551,43,39,0.524,18.0,105.9,103.7,2.37,2011,Houston Rockets
552,39,27,0.591,—,91.8,89.3,2.26,2012,Boston Celtics
553,36,30,0.545,3.0,97.8,94.7,2.39,2012,New York Knicks
554,35,31,0.53,4.0,93.6,89.4,3.59,2012,Philadelphia 76ers
555,23,43,0.348,16.0,90.7,94.0,-3.67,2012,Toronto Raptors
556,22,44,0.333,17.0,93.1,99.1,-6.37,2012,New Jersey Nets
557,50,16,0.758,—,96.3,88.2,7.43,2012,Chicago Bulls
558,42,24,0.636,8.0,97.7,94.4,2.6,2012,Indiana Pacers
559,31,35,0.47,19.0,99.0,98.7,-0.23,2012,Milwaukee Bucks
560,25,41,0.379,25.0,90.9,95.7,-5.19,2012,Detroit Pistons
561,21,45,0.318,29.0,93.0,100.2,-7.34,2012,Cleveland Cavaliers
562,46,20,0.697,—,98.5,92.5,5.72,2012,Miami Heat
563,40,26,0.606,6.0,96.6,93.2,2.67,2012,Atlanta Hawks
564,37,29,0.561,9.0,94.2,93.4,0.46,2012,Orlando Magic
565,20,46,0.303,26.0,93.6,98.4,-5.14,2012,Washington Wizards
566,7,59,0.106,39.0,87.0,100.9,-13.96,2012,Charlotte Bobcats
567,47,19,0.712,—,103.1,96.9,6.44,2012,Oklahoma City Thunder
568,38,28,0.576,9.0,104.1,101.2,3.16,2012,Denver Nuggets
569,36,30,0.545,11.0,99.7,99.0,0.92,2012,Utah Jazz
570,28,38,0.424,19.0,97.2,97.8,-0.22,2012,Portland Trail Blazers
571,26,40,0.394,21.0,97.9,100.1,-1.83,2012,Minnesota Timberwolves
572,41,25,0.621,—,97.3,95.9,1.96,2012,Los Angeles Lakers
573,40,26,0.606,1.0,97.5,95.0,2.82,2012,Los Angeles Clippers
574,33,33,0.5,8.0,98.4,98.6,0.29,2012,Phoenix Suns
575,23,43,0.348,18.0,97.8,101.2,-2.79,2012,Golden State Warriors
576,22,44,0.333,19.0,98.8,104.4,-4.95,2012,Sacramento Kings
577,50,16,0.758,—,103.7,96.5,7.28,2012,San Antonio Spurs
578,41,25,0.621,9.0,95.0,93.0,2.43,2012,Memphis Grizzlies
579,36,30,0.545,14.0,95.8,94.8,1.78,2012,Dallas Mavericks
580,34,32,0.515,16.0,98.1,97.9,0.57,2012,Houston Rockets
581,21,45,0.318,29.0,89.6,93.4,-3.11,2012,New Orleans Hornets
582,54,28,0.659,—,100.0,95.7,3.73,2013,New York Knicks
583,49,33,0.598,5.0,96.9,95.1,1.25,2013,Brooklyn Nets
584,41,40,0.506,12.5,96.5,96.7,-0.62,2013,Boston Celtics
585,34,48,0.415,20.0,93.2,96.5,-3.51,2013,Philadelphia 76ers
586,34,48,0.415,20.0,97.2,98.7,-1.96,2013,Toronto Raptors
587,49,32,0.605,—,94.7,90.7,3.34,2013,Indiana Pacers
588,45,37,0.549,4.5,93.2,92.9,-0.02,2013,Chicago Bulls
589,38,44,0.463,11.5,98.9,100.4,-1.83,2013,Milwaukee Bucks
590,29,53,0.354,20.5,94.9,98.8,-4.33,2013,Detroit Pistons
591,24,58,0.293,25.5,96.5,101.2,-4.87,2013,Cleveland Cavaliers
592,66,16,0.805,—,102.9,95.0,7.03,2013,Miami Heat
593,44,38,0.537,22.0,98.0,97.5,-0.08,2013,Atlanta Hawks
594,29,53,0.354,37.0,93.2,95.8,-2.78,2013,Washington Wizards
595,21,61,0.256,45.0,93.4,102.7,-9.29,2013,Charlotte Bobcats
596,20,62,0.244,46.0,94.1,101.1,-7.12,2013,Orlando Magic
597,60,22,0.732,—,105.7,96.5,9.15,2013,Oklahoma City Thunder
598,57,25,0.695,3.0,106.1,101.1,5.37,2013,Denver Nuggets
599,43,39,0.524,17.0,98.0,98.1,0.3,2013,Utah Jazz
600,33,49,0.402,27.0,97.5,100.7,-2.53,2013,Portland Trail Blazers
601,31,51,0.378,29.0,95.7,98.1,-1.83,2013,Minnesota Timberwolves
602,56,26,0.683,—,101.1,94.6,6.43,2013,Los Angeles Clippers
603,47,35,0.573,9.0,101.2,100.3,1.32,2013,Golden State Warriors
604,45,37,0.549,11.0,102.2,101.0,1.48,2013,Los Angeles Lakers
605,28,54,0.341,28.0,100.2,105.1,-4.26,2013,Sacramento Kings
606,25,57,0.305,31.0,95.2,101.6,-5.75,2013,Phoenix Suns
607,58,24,0.707,—,103.0,96.6,6.67,2013,San Antonio Spurs
608,56,26,0.683,2.0,93.4,89.3,4.32,2013,Memphis Grizzlies
609,45,37,0.549,13.0,106.0,102.5,3.69,2013,Houston Rockets
610,41,41,0.5,17.0,101.1,101.7,-0.24,2013,Dallas Mavericks
611,27,55,0.329,31.0,94.1,97.9,-3.12,2013,New Orleans Hornets
612,48,34,0.585,—,101.3,98.0,2.55,2014,Toronto Raptors
613,44,38,0.537,4.0,98.5,99.5,-1.58,2014,Brooklyn Nets
614,37,45,0.451,11.0,98.6,99.4,-1.4,2014,New York Knicks
615,25,57,0.305,23.0,96.2,100.7,-4.97,2014,Boston Celtics
616,19,63,0.232,29.0,99.5,109.9,-10.66,2014,Philadelphia 76ers
617,56,26,0.683,—,96.7,92.3,3.63,2014,Indiana Pacers
618,48,34,0.585,8.0,93.7,91.8,1.2,2014,Chicago Bulls
619,33,49,0.402,23.0,98.2,101.5,-3.86,2014,Cleveland Cavaliers
620,29,53,0.354,27.0,101.0,104.7,-4.13,2014,Detroit Pistons
621,15,67,0.183,41.0,95.5,103.7,-8.41,2014,Milwaukee Bucks
622,54,28,0.659,—,102.2,97.4,4.15,2014,Miami Heat
623,44,38,0.537,10.0,100.7,99.4,0.48,2014,Washington Wizards
624,43,39,0.524,11.0,96.9,97.1,-0.89,2014,Charlotte Bobcats
625,38,44,0.463,16.0,101.0,101.5,-0.88,2014,Atlanta Hawks
626,23,59,0.28,31.0,96.5,102.0,-5.88,2014,Orlando Magic
627,59,23,0.72,—,106.2,99.8,6.66,2014,Oklahoma City Thunder
628,54,28,0.659,5.0,106.7,102.8,4.44,2014,Portland Trail Blazers
629,40,42,0.488,19.0,106.9,104.3,3.1,2014,Minnesota Timberwolves
630,36,46,0.439,23.0,104.4,106.5,-1.4,2014,Denver Nuggets
631,25,57,0.305,34.0,95.0,102.2,-6.27,2014,Utah Jazz
632,57,25,0.695,—,107.9,101.0,7.27,2014,Los Angeles Clippers
633,51,31,0.622,6.0,104.3,99.5,5.15,2014,Golden State Warriors
634,48,34,0.585,9.0,105.2,102.6,3.02,2014,Phoenix Suns
635,28,54,0.341,29.0,100.5,103.4,-2.08,2014,Sacramento Kings
636,27,55,0.329,30.0,103.0,109.2,-5.33,2014,Los Angeles Lakers
637,62,20,0.756,—,105.4,97.6,8.0,2014,San Antonio Spurs
638,54,28,0.659,8.0,107.7,103.1,5.06,2014,Houston Rockets
639,50,32,0.61,12.0,96.1,94.6,2.18,2014,Memphis Grizzlies
640,49,33,0.598,13.0,104.8,102.4,2.91,2014,Dallas Mavericks
641,34,48,0.415,28.0,99.7,102.4,-1.98,2014,New Orleans Pelicans
642,49,33,0.598,—,104.0,100.9,2.45,2015,Toronto Raptors
643,40,42,0.488,9.0,101.4,101.2,-0.4,2015,Boston Celtics
644,38,44,0.463,11.0,98.0,100.9,-3.13,2015,Brooklyn Nets
645,18,64,0.22,31.0,92.0,101.0,-9.04,2015,Philadelphia 76ers
646,17,65,0.207,32.0,91.9,101.2,-9.5,2015,New York Knicks
647,53,29,0.646,—,103.1,98.7,4.08,2015,Cleveland Cavaliers
648,50,32,0.61,3.0,100.8,97.8,2.54,2015,Chicago Bulls
649,41,41,0.5,12.0,97.8,97.4,-0.09,2015,Milwaukee Bucks
650,38,44,0.463,15.0,97.3,97.0,-0.23,2015,Indiana Pacers
651,32,50,0.39,21.0,98.5,99.5,-1.39,2015,Detroit Pistons
652,60,22,0.732,—,102.5,97.1,4.75,2015,Atlanta Hawks
653,46,36,0.561,14.0,98.5,97.8,0.17,2015,Washington Wizards
654,37,45,0.451,23.0,94.7,97.3,-2.92,2015,Miami Heat
655,33,49,0.402,27.0,94.2,97.3,-3.44,2015,Charlotte Hornets
656,25,57,0.305,35.0,95.7,101.4,-5.87,2015,Orlando Magic
657,51,31,0.622,—,102.8,98.6,4.41,2015,Portland Trail Blazers
658,45,37,0.549,6.0,104.0,101.8,2.47,2015,Oklahoma City Thunder
659,38,44,0.463,13.0,95.1,94.9,0.71,2015,Utah Jazz
660,30,52,0.366,21.0,101.5,105.0,-3.07,2015,Denver Nuggets
661,16,66,0.195,35.0,97.8,106.5,-8.0,2015,Minnesota Timberwolves
662,67,15,0.817,—,110.0,99.9,10.01,2015,Golden State Warriors
663,56,26,0.683,11.0,106.7,100.1,6.8,2015,Los Angeles Clippers
664,39,43,0.476,28.0,102.4,103.3,-0.38,2015,Phoenix Suns
665,29,53,0.354,38.0,101.3,105.0,-3.07,2015,Sacramento Kings
666,21,61,0.256,46.0,98.5,105.3,-6.17,2015,Los Angeles Lakers
667,56,26,0.683,—,103.9,100.5,3.82,2015,Houston Rockets
668,55,27,0.671,1.0,98.3,95.1,3.62,2015,Memphis Grizzlies
669,55,27,0.671,1.0,103.2,97.0,6.34,2015,San Antonio Spurs
670,50,32,0.61,6.0,105.2,102.3,3.36,2015,Dallas Mavericks
671,45,37,0.549,11.0,99.4,98.6,1.13,2015,New Orleans Pelicans
672,56,26,0.683,—,102.7,98.2,4.08,2016,Toronto Raptors
673,48,34,0.585,8.0,105.7,102.5,2.84,2016,Boston Celtics
674,32,50,0.39,24.0,98.4,101.1,-2.74,2016,New York Knicks
675,21,61,0.256,35.0,98.6,106.0,-7.12,2016,Brooklyn Nets
676,10,72,0.122,46.0,97.4,107.6,-9.92,2016,Philadelphia 76ers
677,57,25,0.695,—,104.3,98.3,5.45,2016,Cleveland Cavaliers
678,45,37,0.549,12.0,102.2,100.5,1.62,2016,Indiana Pacers
679,44,38,0.537,13.0,102.0,101.4,0.43,2016,Detroit Pistons
680,42,40,0.512,15.0,101.6,103.1,-1.46,2016,Chicago Bulls
681,33,49,0.402,24.0,99.0,103.2,-3.98,2016,Milwaukee Bucks
682,48,34,0.585,—,100.0,98.4,1.5,2016,Miami Heat
683,48,34,0.585,—,102.8,99.2,3.49,2016,Atlanta Hawks
684,48,34,0.585,—,103.4,100.7,2.36,2016,Charlotte Hornets
685,41,41,0.5,7.0,104.1,104.6,-0.5,2016,Washington Wizards
686,35,47,0.427,13.0,102.1,103.7,-1.68,2016,Orlando Magic
687,55,27,0.671,—,110.2,102.9,7.09,2016,Oklahoma City Thunder
688,44,38,0.537,11.0,105.1,104.3,0.98,2016,Portland Trail Blazers
689,40,42,0.488,15.0,97.7,95.9,1.84,2016,Utah Jazz
690,33,49,0.402,22.0,101.9,105.0,-2.81,2016,Denver Nuggets
691,29,53,0.354,26.0,102.4,106.0,-3.38,2016,Minnesota Timberwolves
692,73,9,0.89,—,114.9,104.1,10.38,2016,Golden State Warriors
693,53,29,0.646,20.0,104.5,100.2,4.13,2016,Los Angeles Clippers
694,33,49,0.402,40.0,106.6,109.1,-2.32,2016,Sacramento Kings
695,23,59,0.28,50.0,100.9,107.5,-6.32,2016,Phoenix Suns
696,17,65,0.207,56.0,97.3,106.9,-8.92,2016,Los Angeles Lakers
697,67,15,0.817,—,103.5,92.9,10.28,2016,San Antonio Spurs
698,42,40,0.512,25.0,102.3,102.6,-0.02,2016,Dallas Mavericks
699,42,40,0.512,25.0,99.1,101.3,-2.14,2016,Memphis Grizzlies
700,41,41,0.5,26.0,106.5,106.4,0.34,2016,Houston Rockets
701,30,52,0.366,37.0,102.7,106.5,-3.56,2016,New Orleans Pelicans
702,53,29,0.646,—,108.0,105.4,2.25,2017,Boston Celtics
703,51,31,0.622,2.0,106.9,102.6,3.65,2017,Toronto Raptors
704,31,51,0.378,22.0,104.3,108.0,-3.87,2017,New York Knicks
705,28,54,0.341,25.0,102.4,108.1,-5.83,2017,Philadelphia 76ers
706,20,62,0.244,33.0,105.8,112.5,-6.74,2017,Brooklyn Nets
707,51,31,0.622,—,110.3,107.2,2.87,2017,Cleveland Cavaliers
708,42,40,0.512,9.0,103.6,103.8,-0.45,2017,Milwaukee Bucks
709,42,40,0.512,9.0,105.1,105.3,-0.64,2017,Indiana Pacers
710,41,41,0.5,10.0,102.9,102.4,0.03,2017,Chicago Bulls
711,37,45,0.451,14.0,101.3,102.5,-1.29,2017,Detroit Pistons
712,49,33,0.598,—,109.2,107.4,1.36,2017,Washington Wizards
713,43,39,0.524,6.0,103.2,104.0,-1.23,2017,Atlanta Hawks
714,41,41,0.5,8.0,103.2,102.1,0.77,2017,Miami Heat
715,36,46,0.439,13.0,104.9,104.7,-0.07,2017,Charlotte Hornets
716,29,53,0.354,20.0,101.1,107.6,-6.61,2017,Orlando Magic
717,51,31,0.622,—,100.7,96.8,4.0,2017,Utah Jazz
