,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
82,47,35,0.573,13.0,97.2,94.9,2.24,1996,New York Knicks
83,42,40,0.512,18.0,96.5,95.0,1.46,1996,Miami Heat
84,39,43,0.476,21.0,102.5,101.5,0.99,1996,Washington Bullets
85,33,49,0.402,27.0,103.6,107.0,-3.37,1996,Boston Celtics
86,30,52,0.366,30.0,93.7,97.9,-4.14,1996,New Jersey Nets
87,18,64,0.22,42.0,94.5,104.5,-9.45,1996,Philadelphia 76ers
88,72,10,0.878,—,105.2,92.9,11.8,1996,Chicago Bulls
89,52,30,0.634,20.0,99.3,96.1,3.11,1996,Indiana Pacers
90,47,35,0.573,25.0,91.1,88.5,2.49,1996,Cleveland Cavaliers
91,46,36,0.561,26.0,98.3,97.1,1.29,1996,Atlanta Hawks
92,46,36,0.561,26.0,95.4,92.9,2.45,1996,Detroit Pistons
93,41,41,0.5,31.0,102.8,103.4,-0.48,1996,Charlotte Hornets
94,25,57,0.305,47.0,95.6,100.9,-4.92,1996,Milwaukee Bucks
95,21,61,0.256,51.0,97.5,105.0,-7.2,1996,Toronto Raptors
96,59,23,0.72,—,103.4,97.1,5.98,1996,San Antonio Spurs
97,55,27,0.671,4.0,102.5,95.9,6.25,1996,Utah Jazz
98,48,34,0.585,11.0,102.5,100.7,1.63,1996,Houston Rockets
99,35,47,0.427,24.0,97.7,100.4,-2.62,1996,Denver Nuggets
100,26,56,0.317,33.0,97.9,103.2,-5.14,1996,Minnesota Timberwolves
101,26,56,0.317,33.0,102.5,107.5,-4.71,1996,Dallas Mavericks
102,15,67,0.183,44.0,89.8,99.8,-9.55,1996,Vancouver Grizzlies
103,64,18,0.78,—,104.5,96.7,7.4,1996,Seattle SuperSonics
104,53,29,0.646,11.0,102.9,98.5,4.21,1996,Los Angeles Lakers
105,44,38,0.537,20.0,99.3,97.0,2.21,1996,Portland Trail Blazers
106,41,41,0.5,23.0,104.3,104.0,0.28,1996,Phoenix Suns
107,39,43,0.476,25.0,99.5,102.3,-2.62,1996,Sacramento Kings
108,36,46,0.439,28.0,101.6,103.1,-1.42,1996,Golden State Warriors
109,29,53,0.354,35.0,99.4,103.0,-3.46,1996,Los Angeles Clippers
110,61,21,0.744,—,94.8,89.3,5.56,1997,Miami Heat
111,57,25,0.695,4.0,95.4,92.2,3.31,1997,New York Knicks
112,45,37,0.549,16.0,94.1,94.5,-0.07,1997,Orlando Magic
